title,available_copies,total_rentals,repeat_rentals,repeat_percentage
"BREAKFAST GOLDFINGER",5,17,1,5.88
"JEKYLL FROGMEN",6,17,1,5.88
"MASK PEACH",4,17,1,5.88
"MIDNIGHT WESTWARD",5,17,1,5.88
"MUSKETEERS WAIT",6,17,1,5.88
"ORIENT CLOSER",6,17,1,5.88
"SLACKER LIAISONS",6,17,1,5.88
"STRANGERS GRAFFITI",4,17,1,5.88
"VIRGIN DAISY",5,17,1,5.88
"CANDIDATE PERDITION",6,18,1,5.56
"DAWN POND",6,18,1,5.56
"DRIVER ANNIE",5,18,1,5.56
"POLLOCK DELIVERANCE",6,18,1,5.56
"ROUGE SQUAD",5,18,1,5.56
"CAMPUS REMEMBER",7,19,1,5.26
"CLONES PINOCCHIO",5,19,1,5.26
"EYES DRIVING",5,19,1,5.26
"FANTASIA PARK",6,19,1,5.26
"FICTION CHRISTMAS",7,19,1,5.26
"NEIGHBORS CHARADE",6,19,1,5.26
"PATIENT SISTER",5,19,1,5.26
"POND SEATTLE",6,19,1,5.26
"ROXANNE REBEL",5,19,1,5.26
"SHAWSHANK BUBBLE",6,19,1,5.26
"CHEAPER CLYDE",5,20,1,5.00
"DINOSAUR SECRETARY",8,20,1,5.00
"FLYING HOOK",6,20,1,5.00
"INSIDER ARIZONA",5,20,1,5.00
"INTRIGUE WORST",7,20,1,5.00
"JERK PAYCHECK",7,20,1,5.00
"LOVE SUICIDES",4,20,1,5.00
"MASKED BUBBLE",6,20,1,5.00
"MINDS TRUMAN",7,20,1,5.00
"REIGN GENTLEMEN",7,20,1,5.00
"SLEEPLESS MONSOON",5,20,1,5.00
"TRAMP OTHERS",5,20,1,5.00
"BADMAN DAWN",6,21,1,4.76
"DOOM DANCING",5,21,1,4.76
"FIREBALL PHILADELPHIA",7,21,1,4.76
"MOONSHINE CABIN",6,21,1,4.76
"MOURNING PURPLE",5,21,1,4.76
"SUIT WALLS",6,21,1,4.76
"ANGELS LIFE",6,22,1,4.55
"CHILL LUCK",7,22,1,4.55
"EAGLES PANKY",6,22,1,4.55
"KISS GLORY",8,22,1,4.55
"LIAISONS SWEET",6,22,1,4.55
"MIDSUMMER GROUNDHOG",6,22,1,4.55
"SINNERS ATLANTIS",6,22,1,4.55
"SNATCH SLIPPER",7,22,1,4.55
"WONDERLAND CHRISTMAS",7,22,1,4.55
"AFFAIR PREJUDICE",7,23,1,4.35
"EASY GLADIATOR",5,23,1,4.35
"HOUSE DYNAMITE",6,23,1,4.35
"KWAI HOMEWARD",6,23,1,4.35
"OTHERS SOUP",6,23,1,4.35
"PATTON INTERVIEW",7,23,1,4.35
"PHILADELPHIA WIFE",6,23,1,4.35
"STEEL SANTA",7,23,1,4.35
"TITANIC BOONDOCK",7,23,1,4.35
"TRUMAN CRAZY",6,23,1,4.35
"WASH HEAVENLY",5,23,1,4.35
"YENTL IDAHO",6,23,1,4.35
"ALAMO VIDEOTAPE",7,24,1,4.17
"DRIFTER COMMANDMENTS",6,24,1,4.17
"KNOCK WARLOCK",7,24,1,4.17
"LOLA AGENT",6,24,1,4.17
"OZ LIAISONS",6,24,1,4.17
"ROMAN PUNK",6,24,1,4.17
"SUNRISE LEAGUE",6,24,1,4.17
"CONEHEADS SMOOCHY",7,25,1,4.00
"DOUBLE WRATH",7,25,1,4.00
"EFFECT GLADIATOR",7,25,1,4.00
"GUN BONNIE",6,25,1,4.00
"METAL ARMAGEDDON",6,25,1,4.00
"OSCAR GOLD",7,25,1,4.00
"SUN CONFESSIONS",7,25,1,4.00
"CONTACT ANONYMOUS",7,26,1,3.85
"DURHAM PANKY",7,26,1,3.85
"HYDE DOCTOR",6,26,1,3.85
"INNOCENT USUAL",8,26,1,3.85
"MALKOVICH PET",7,26,1,3.85
"SEABISCUIT PUNK",8,26,1,3.85
"STAGECOACH ARMAGEDDON",6,26,1,3.85
"TIGHTS DAWN",7,26,1,3.85
"WESTWARD SEABISCUIT",7,26,1,3.85
"BLACKOUT PRIVATE",7,27,1,3.70
"CAMELOT VACATION",7,27,1,3.70
"CURTAIN VIDEOTAPE",8,27,1,3.70
"DANCING FEVER",8,27,1,3.70
"GOLDMINE TYCOON",7,27,1,3.70
"HORROR REIGN",8,27,1,3.70
"LIES TREATMENT",7,27,1,3.70
"LOSE INCH",8,27,1,3.70
"NONE SPIKING",7,27,1,3.70
"OPERATION OPERATION",8,27,1,3.70
"PRIMARY GLASS",8,27,1,3.70
"PRINCESS GIANT",7,27,1,3.70
"EXPENDABLE STALLION",8,28,1,3.57
"ROSES TREASURE",8,28,1,3.57
"VOYAGE LEGALLY",7,28,1,3.57
"BINGO TALENTED",8,29,1,3.45
"BOOGIE AMELIE",8,29,1,3.45
"GLEAMING JAWBREAKER",8,29,1,3.45
"SWEETHEARTS SUSPECTS",8,29,1,3.45
"TALENTED HOMICIDE",7,29,1,3.45
"TITANS JERK",8,29,1,3.45
"BUTTERFLY CHOCOLAT",8,30,1,3.33
"CAT CONEHEADS",8,30,1,3.33
"ENGLISH BULWORTH",7,30,1,3.33
"ZORRO ARK",8,31,1,3.23
"JUGGLER HARDLY",8,32,1,3.13
"BUCKET BROTHERHOOD",8,34,1,2.94
"ACADEMY DINOSAUR",8,23,0,0.00
"ACE GOLDFINGER",3,7,0,0.00
"ADAPTATION HOLES",4,12,0,0.00
"AFRICAN EGG",3,12,0,0.00
"AGENT TRUMAN",6,21,0,0.00
"AIRPLANE SIERRA",5,15,0,0.00
"AIRPORT POLLOCK",4,18,0,0.00
"ALABAMA DEVIL",5,12,0,0.00
"ALADDIN CALENDAR",7,23,0,0.00
"ALI FOREVER",4,9,0,0.00
"ALIEN CENTER",6,22,0,0.00
"ALLEY EVOLUTION",4,14,0,0.00
"ALONE TRIP",6,18,0,0.00
"ALTER VICTORY",6,22,0,0.00
"AMADEUS HOLY",6,21,0,0.00
"AMELIE HELLFIGHTERS",3,10,0,0.00
"AMISTAD MIDSUMMER",7,21,0,0.00
"ANACONDA CONFESSIONS",5,21,0,0.00
"ANALYZE HOOSIERS",4,14,0,0.00
"ANNIE IDENTITY",5,22,0,0.00
"ANONYMOUS HUMAN",4,13,0,0.00
"ANTHEM LUKE",3,15,0,0.00
"ANTITRUST TOMATOES",2,10,0,0.00
"ANYTHING SAVANNAH",2,9,0,0.00
"APACHE DIVINE",8,31,0,0.00
"APOCALYPSE FLAMINGOS",2,6,0,0.00
"ARABIA DOGMA",4,13,0,0.00
"ARACHNOPHOBIA ROLLERCOASTER",7,24,0,0.00
"ARIZONA BANG",7,21,0,0.00
"ARMAGEDDON LOST",7,21,0,0.00
"ARMY FLINTSTONES",4,16,0,0.00
"ARTIST COLDBLOODED",4,16,0,0.00
"ATLANTIS CAUSE",7,24,0,0.00
"ATTACKS HATE",5,16,0,0.00
"ATTRACTION NEWTON",6,24,0,0.00
"AUTUMN CROW",3,11,0,0.00
"BABY HALL",2,8,0,0.00
"BACKLASH UNDEFEATED",4,19,0,0.00
"BAKED CLEOPATRA",5,16,0,0.00
"BALLOON HOMEWARD",6,23,0,0.00
"BALLROOM MOCKINGBIRD",2,8,0,0.00
"BANG KWAI",2,7,0,0.00
"BANGER PINOCCHIO",5,22,0,0.00
"BARBARELLA STREETCAR",6,25,0,0.00
"BAREFOOT MANCHURIAN",5,18,0,0.00
"BASIC EASY",7,21,0,0.00
"BEACH HEARTBREAKERS",4,17,0,0.00
"BEAR GRACELAND",5,22,0,0.00
"BEAST HUNCHBACK",3,11,0,0.00
"BEAUTY GREASE",6,22,0,0.00
"BED HIGHBALL",2,6,0,0.00
"BEETHOVEN EXORCIST",3,11,0,0.00
"BEHAVIOR RUNAWAY",4,13,0,0.00
"BENEATH RUSH",3,10,0,0.00
"BERETS AGENT",6,21,0,0.00
"BETRAYED REAR",4,15,0,0.00
"BEVERLY OUTLAW",8,21,0,0.00
"BIKINI BORROWERS",4,17,0,0.00
"BILKO ANONYMOUS",4,13,0,0.00
"BILL OTHERS",6,19,0,0.00
"BIRCH ANTITRUST",5,11,0,0.00
"BIRD INDEPENDENCE",3,11,0,0.00
"BIRDS PERDITION",6,18,0,0.00
"BLADE POLISH",6,22,0,0.00
"BLANKET BEVERLY",4,12,0,0.00
"BLINDNESS GUN",4,14,0,0.00
"BLOOD ARGONAUTS",2,10,0,0.00
"BLUES INSTINCT",5,21,0,0.00
"BONNIE HOLOCAUST",4,16,0,0.00
"BORN SPINAL",4,12,0,0.00
"BORROWERS BEDAZZLED",6,22,0,0.00
"BOULEVARD MOB",6,18,0,0.00
"BOUND CHEAPER",8,24,0,0.00
"BOWFINGER GABLES",4,11,0,0.00
"BRANNIGAN SUNRISE",3,12,0,0.00
"BRAVEHEART HUMAN",2,5,0,0.00
"BREAKING HOME",3,13,0,0.00
"BRIDE INTRIGUE",6,19,0,0.00
"BRIGHT ENCOUNTERS",3,13,0,0.00
"BRINGING HYSTERICAL",6,20,0,0.00
"BROOKLYN DESERT",6,21,0,0.00
"BROTHERHOOD BLANKET",6,26,0,0.00
"BUBBLE GROSSE",2,6,0,0.00
"BUGSY SONG",3,11,0,0.00
"BULL SHAWSHANK",5,16,0,0.00
"BULWORTH COMMANDMENTS",2,7,0,0.00
"BUNCH MINDS",2,5,0,0.00
"CABIN FLASH",4,15,0,0.00
"CALENDAR GUNFIGHT",7,21,0,0.00
"CANDLES GRAPES",6,23,0,0.00
"CANYON STOCK",6,19,0,0.00
"CAPER MOTIONS",7,24,0,0.00
"CAROL TEXAS",6,18,0,0.00
"CARRIE BUNCH",7,23,0,0.00
"CASABLANCA SUPER",5,16,0,0.00
"CASPER DRAGONFLY",3,8,0,0.00
"CASSIDY WYOMING",2,6,0,0.00
"CASUALTIES ENCINO",3,9,0,0.00
"CAUSE DATE",6,21,0,0.00
"CELEBRITY HORN",6,24,0,0.00
"CHAINSAW UPTOWN",6,21,0,0.00
"CHAMBER ITALIAN",4,13,0,0.00
"CHAMPION FLATLINERS",3,13,0,0.00
"CHANCE RESURRECTION",7,27,0,0.00
"CHAPLIN LICENSE",3,8,0,0.00
"CHARADE DUFFEL",4,15,0,0.00
"CHARIOTS CONSPIRACY",5,21,0,0.00
"CHASING FIGHT",6,20,0,0.00
"CHICKEN HELLFIGHTERS",5,22,0,0.00
"CHISUM BEHAVIOR",3,13,0,0.00
"CHITTY LOCK",3,8,0,0.00
"CHOCOLAT HARRY",6,20,0,0.00
"CHRISTMAS MOONSHINE",6,21,0,0.00
"CIDER DESIRE",6,19,0,0.00
"CINCINATTI WHISPERER",4,13,0,0.00
"CIRCUS YOUTH",4,15,0,0.00
"CITIZEN SHREK",4,13,0,0.00
"CLASH FREDDY",7,25,0,0.00
"CLEOPATRA DEVIL",5,18,0,0.00
"CLERKS ANGELS",2,7,0,0.00
"CLOCKWORK PARADISE",3,10,0,0.00
"CLOSER BANG",7,28,0,0.00
"CLUB GRAFFITI",5,19,0,0.00
"CLUE GRAIL",2,7,0,0.00
"CLUELESS BUCKET",7,25,0,0.00
"CLYDE THEORY",3,8,0,0.00
"COAST RAINBOW",5,21,0,0.00
"COLOR PHILADELPHIA",6,24,0,0.00
"COMA HEAD",7,26,0,0.00
"COMANCHEROS ENEMY",2,6,0,0.00
"COMFORTS RUSH",4,17,0,0.00
"CONFESSIONS MAGUIRE",5,14,0,0.00
"CONFIDENTIAL INTERVIEW",8,29,0,0.00
"CONFUSED CANDLES",5,17,0,0.00
"CONGENIALITY QUEST",6,22,0,0.00
"CONNECTICUT TRAMP",3,13,0,0.00
"CONNECTION MICROCOSMOS",2,7,0,0.00
"CONQUERER NUTS",4,16,0,0.00
"CONSPIRACY SPIRIT",2,5,0,0.00
"CONTROL ANTHEM",2,7,0,0.00
"CONVERSATION DOWNHILL",6,17,0,0.00
"CORE SUIT",5,18,0,0.00
"COWBOY DOOM",2,7,0,0.00
"CRAFT OUTFIELD",4,16,0,0.00
"CRANES RESERVOIR",3,11,0,0.00
"CRAZY HOME",3,9,0,0.00
"CREATURES SHAKESPEARE",6,16,0,0.00
"CREEPERS KANE",4,14,0,0.00
"CROOKED FROGMEN",6,23,0,0.00
"CROSSROADS CASUALTIES",8,21,0,0.00
"CROW GREASE",4,12,0,0.00
"CRUELTY UNFORGIVEN",2,7,0,0.00
"CRUSADE HONEY",2,8,0,0.00
"CUPBOARD SINNERS",8,23,0,0.00
"CYCLONE FAMILY",4,15,0,0.00
"DADDY PITTSBURGH",3,13,0,0.00
"DAISY MENAGERIE",4,16,0,0.00
"DALMATIONS SWEDEN",6,20,0,0.00
"DANCES NONE",4,14,0,0.00
"DARES PLUTO",3,9,0,0.00
"DARKNESS WAR",4,13,0,0.00
"DARKO DORADO",3,11,0,0.00
"DARLING BREAKING",2,9,0,0.00
"DARN FORRESTER",5,18,0,0.00
"DATE SPEED",4,13,0,0.00
"DAY UNFAITHFUL",5,14,0,0.00
"DECEIVER BETRAYED",7,21,0,0.00
"DEEP CRUSADE",4,14,0,0.00
"DESERT POSEIDON",6,19,0,0.00
"DESIRE ALIEN",2,8,0,0.00
"DESPERATE TRAINSPOTTING",2,6,0,0.00
"DESTINATION JERK",3,8,0,0.00
"DESTINY SATURDAY",5,16,0,0.00
"DETAILS PACKER",5,19,0,0.00
"DEVIL DESIRE",4,15,0,0.00
"DIARY PANIC",2,9,0,0.00
"DIRTY ACE",5,15,0,0.00
"DISTURBING SCARFACE",7,26,0,0.00
"DIVIDE MONSTER",6,21,0,0.00
"DIVINE RESURRECTION",4,15,0,0.00
"DIVORCE SHINING",2,7,0,0.00
"DOCTOR GRAIL",2,7,0,0.00
"DOGMA FAMILY",8,30,0,0.00
"DOLLS RAGE",3,9,0,0.00
"DONNIE ALLEY",4,14,0,0.00
"DOORS PRESIDENT",6,19,0,0.00
"DORADO NOTTING",7,27,0,0.00
"DOUBTFIRE LABYRINTH",3,10,0,0.00
"DOWNHILL ENOUGH",7,25,0,0.00
"DOZEN LION",2,7,0,0.00
"DRACULA CRYSTAL",6,21,0,0.00
"DRAGON SQUAD",4,11,0,0.00
"DRAGONFLY STRANGERS",5,18,0,0.00
"DREAM PICKUP",6,22,0,0.00
"DRIVING POLISH",6,21,0,0.00
"DROP WATERFRONT",3,9,0,0.00
"DRUMLINE CYCLONE",3,11,0,0.00
"DRUMS DYNAMITE",4,13,0,0.00
"DUCK RACER",2,6,0,0.00
"DUDE BLINDNESS",4,16,0,0.00
"DUFFEL APOCALYPSE",2,7,0,0.00
"DUMBO LUST",2,6,0,0.00
"DWARFS ALTER",2,9,0,0.00
"DYING MAKER",4,17,0,0.00
"DYNAMITE TARZAN",8,25,0,0.00
"EARLY HOME",2,7,0,0.00
"EARRING INSTINCT",6,19,0,0.00
"EARTH VISION",7,23,0,0.00
"EDGE KISSING",4,15,0,0.00
"EGG IGBY",7,21,0,0.00
"EGYPT TENENBAUMS",5,17,0,0.00
"ELEMENT FREDDY",4,10,0,0.00
"ELEPHANT TROJAN",3,14,0,0.00
"ELF MURDER",2,7,0,0.00
"ELIZABETH SHANE",2,10,0,0.00
"ENCINO ELF",6,19,0,0.00
"ENCOUNTERS CURTAIN",6,19,0,0.00
"ENDING CROWDS",3,11,0,0.00
"ENEMY ODDS",7,29,0,0.00
"ENOUGH RAGING",5,18,0,0.00
"ENTRAPMENT SATISFACTION",4,15,0,0.00
"ESCAPE METROPOLIS",6,25,0,0.00
"EVE RESURRECTION",2,7,0,0.00
"EVERYONE CRAFT",3,13,0,0.00
"EVOLUTION ALTER",4,12,0,0.00
"EXCITEMENT EVE",6,21,0,0.00
"EXORCIST STING",5,13,0,0.00
"EXPECATIONS NATURAL",5,18,0,0.00
"EXPRESS LONELY",4,13,0,0.00
"EXTRAORDINARY CONQUERER",2,6,0,0.00
"FACTORY DRAGON",4,17,0,0.00
"FALCON VOLUME",6,22,0,0.00
"FAMILY SWEET",8,29,0,0.00
"FARGO GANDHI",6,24,0,0.00
"FATAL HAUNTED",7,28,0,0.00
"FEATHERS METAL",3,11,0,0.00
"FERRIS MOTHER",4,17,0,0.00
"FEUD FROGMEN",6,25,0,0.00
"FEVER EMPIRE",2,5,0,0.00
"FIDDLER LOST",3,10,0,0.00
"FIDELITY DEVIL",6,21,0,0.00
"FIGHT JAWBREAKER",6,22,0,0.00
"FINDING ANACONDA",3,12,0,0.00
"FIRE WOLVES",2,7,0,0.00
"FISH OPUS",7,25,0,0.00
"FLAMINGOS CONNECTICUT",7,23,0,0.00
"FLASH WARS",4,13,0,0.00
"FLIGHT LIES",4,12,0,0.00
"FLINTSTONES HAPPINESS",5,17,0,0.00
"FOOL MOCKINGBIRD",6,23,0,0.00
"FOREVER CANDIDATE",4,13,0,0.00
"FORREST SONS",6,18,0,0.00
"FORRESTER COMANCHEROS",7,27,0,0.00
"FORWARD TEMPLE",8,32,0,0.00
"FREAKY POCUS",4,17,0,0.00
"FREDDY STORM",6,23,0,0.00
"FREEDOM CLEOPATRA",2,5,0,0.00
"FRENCH HOLIDAY",5,17,0,0.00
"FRIDA SLIPPER",4,11,0,0.00
"FRISCO FORREST",3,9,0,0.00
"FROGMEN BREAKING",3,10,0,0.00
"FRONTIER CABIN",2,6,0,0.00
"FUGITIVE MAGUIRE",4,11,0,0.00
"FULL FLATLINERS",2,5,0,0.00
"FURY MURDER",5,19,0,0.00
"GABLES METROPOLIS",5,19,0,0.00
"GALAXY SWEETHEARTS",6,18,0,0.00
"GAMES BOWFINGER",4,14,0,0.00
"GANDHI KWAI",4,17,0,0.00
"GANGS PRIDE",7,27,0,0.00
"GARDEN ISLAND",8,20,0,0.00
"GASLIGHT CRUSADE",6,16,0,0.00
"GATHERING CALENDAR",4,11,0,0.00
"GHOST GROUNDHOG",5,21,0,0.00
"GHOSTBUSTERS ELF",2,9,0,0.00
"GIANT TROOPERS",8,28,0,0.00
"GILBERT PELICAN",4,9,0,0.00
"GILMORE BOILED",8,28,0,0.00
"GLORY TRACY",2,5,0,0.00
"GO PURPLE",6,20,0,0.00
"GODFATHER DIARY",3,8,0,0.00
"GOLD RIVER",4,14,0,0.00
"GOLDFINGER SENSIBILITY",7,24,0,0.00
"GONE TROUBLE",2,10,0,0.00
"GOODFELLAS SALUTE",8,31,0,0.00
"GORGEOUS BINGO",5,19,0,0.00
"GOSFORD DONNIE",3,8,0,0.00
"GRACELAND DYNAMITE",2,6,0,0.00
"GRAFFITI LOVE",7,30,0,0.00
"GRAIL FRANKENSTEIN",2,10,0,0.00
"GRAPES FURY",7,22,0,0.00
"GREASE YOUTH",6,21,0,0.00
"GREATEST NORTH",8,29,0,0.00
"GREEDY ROOTS",4,14,0,0.00
"GREEK EVERYONE",5,17,0,0.00
"GRIT CLOCKWORK",8,32,0,0.00
"GROOVE FICTION",5,18,0,0.00
"GROSSE WONDERFUL",3,8,0,0.00
"GROUNDHOG UNCUT",5,18,0,0.00
"GUNFIGHTER MUSSOLINI",4,12,0,0.00
"GUYS FALCON",3,9,0,0.00
"HALF OUTFIELD",7,26,0,0.00
"HALL CASSIDY",6,16,0,0.00
"HALLOWEEN NUTS",2,10,0,0.00
"HAMLET WISDOM",4,14,0,0.00
"HANDICAP BOONDOCK",6,28,0,0.00
"HANGING DEEP",4,19,0,0.00
"HANKY OCTOBER",7,26,0,0.00
"HANOVER GALAXY",4,17,0,0.00
"HAPPINESS UNITED",2,6,0,0.00
"HARDLY ROBBERS",2,4,0,0.00
"HAROLD FRENCH",2,8,0,0.00
"HARPER DYING",6,20,0,0.00
"HARRY IDAHO",8,30,0,0.00
"HAUNTED ANTITRUST",2,6,0,0.00
"HAUNTING PIANIST",6,22,0,0.00
"HAWK CHILL",2,7,0,0.00
"HEAD STRANGER",7,22,0,0.00
"HEARTBREAKERS BRIGHT",7,20,0,0.00
"HEAVEN FREEDOM",5,18,0,0.00
"HEAVENLY GUN",2,7,0,0.00
"HEAVYWEIGHTS BEAST",8,23,0,0.00
"HEDWIG ALTER",3,12,0,0.00
"HELLFIGHTERS SIERRA",6,20,0,0.00
"HIGH ENCINO",6,22,0,0.00
"HIGHBALL POTTER",6,21,0,0.00
"HILLS NEIGHBORS",6,25,0,0.00
"HOBBIT ALIEN",8,31,0,0.00
"HOLES BRANNIGAN",5,15,0,0.00
"HOLIDAY GAMES",4,15,0,0.00
"HOLLOW JEOPARDY",2,10,0,0.00
"HOLLYWOOD ANONYMOUS",4,13,0,0.00
"HOLOCAUST HIGHBALL",5,17,0,0.00
"HOLY TADPOLE",2,9,0,0.00
"HOME PITY",3,14,0,0.00
"HOMEWARD CIDER",4,16,0,0.00
"HOMICIDE PEACH",6,22,0,0.00
"HONEY TIES",6,19,0,0.00
"HOOK CHARIOTS",4,13,0,0.00
"HOOSIERS BIRDCAGE",3,8,0,0.00
"HOPE TOOTSIE",5,18,0,0.00
"HORN WORKING",6,24,0,0.00
"HOTEL HAPPINESS",2,9,0,0.00
"HOURS RAGE",6,19,0,0.00
"HUMAN GRAFFITI",5,15,0,0.00
"HUNCHBACK IMPOSSIBLE",6,20,0,0.00
"HUNTING MUSKETEERS",3,15,0,0.00
"HURRICANE AFFAIR",7,24,0,0.00
"HUSTLER PARTY",8,22,0,0.00
"HYSTERICAL GRAIL",4,15,0,0.00
"ICE CROSSING",7,24,0,0.00
"IDAHO LOVE",5,17,0,0.00
"IDENTITY LOVER",4,13,0,0.00
"IDOLS SNATCHERS",7,30,0,0.00
"IGBY MAKER",5,19,0,0.00
"ILLUSION AMELIE",4,15,0,0.00
"IMAGE PRINCESS",5,14,0,0.00
"IMPACT ALADDIN",2,9,0,0.00
"IMPOSSIBLE PREJUDICE",4,14,0,0.00
"INCH JET",6,18,0,0.00
"INDEPENDENCE HOTEL",6,19,0,0.00
"INDIAN LOVE",6,16,0,0.00
"INFORMER DOUBLE",2,5,0,0.00
"INSECTS STONE",6,18,0,0.00
"INSTINCT AIRPORT",5,18,0,0.00
"INTENTIONS EMPIRE",7,17,0,0.00
"INTERVIEW LIAISONS",5,20,0,0.00
"INTOLERABLE INTENTIONS",2,9,0,0.00
"INVASION CYCLONE",8,27,0,0.00
"IRON MOON",3,11,0,0.00
"ISHTAR ROCKETEER",2,7,0,0.00
"ISLAND EXORCIST",7,26,0,0.00
"ITALIAN AFRICAN",2,6,0,0.00
"JACKET FRISCO",5,18,0,0.00
"JADE BUNCH",4,18,0,0.00
"JAPANESE RUN",2,6,0,0.00
"JASON TRAP",7,24,0,0.00
"JAWBREAKER BROOKLYN",3,10,0,0.00
"JAWS HARRY",5,14,0,0.00
"JEDI BENEATH",5,19,0,0.00
"JEEPERS WEDDING",4,16,0,0.00
"JEOPARDY ENCINO",3,10,0,0.00
"JERICHO MULAN",5,17,0,0.00
"JERSEY SASSY",3,6,0,0.00
"JINGLE SAGEBRUSH",3,13,0,0.00
"JOON NORTHWEST",5,17,0,0.00
"JUMANJI BLADE",2,8,0,0.00
"JUMPING WRATH",6,24,0,0.00
"JUNGLE CLOSER",2,9,0,0.00
"KANE EXORCIST",3,14,0,0.00
"KARATE MOON",6,23,0,0.00
"KICK SAVANNAH",5,20,0,0.00
"KILLER INNOCENT",2,6,0,0.00
"KING EVOLUTION",2,9,0,0.00
"KISSING DOLLS",5,20,0,0.00
"KRAMER CHOCOLATE",3,9,0,0.00
"LABYRINTH LEAGUE",4,15,0,0.00
"LADY STAGE",6,17,0,0.00
"LADYBUGS ARMAGEDDON",2,6,0,0.00
"LAMBS CINCINATTI",3,10,0,0.00
"LANGUAGE COWBOY",3,11,0,0.00
"LAWLESS VISION",4,17,0,0.00
"LAWRENCE LOVE",5,13,0,0.00
"LEAGUE HELLFIGHTERS",6,17,0,0.00
"LEATHERNECKS DWARFS",2,7,0,0.00
"LEBOWSKI SOLDIERS",6,21,0,0.00
"LEGALLY SECRETARY",2,9,0,0.00
"LEGEND JEDI",3,9,0,0.00
"LESSON CLEOPATRA",2,7,0,0.00
"LIBERTY MAGNIFICENT",4,12,0,0.00
"LICENSE WEEKEND",2,7,0,0.00
"LIFE TWISTED",2,10,0,0.00
"LIGHTS DEER",2,8,0,0.00
"LION UNCUT",6,18,0,0.00
"LOATHING LEGALLY",8,27,0,0.00
"LOCK REAR",4,16,0,0.00
"LOLITA WORLD",3,10,0,0.00
"LONELY ELEPHANT",4,15,0,0.00
"LORD ARIZONA",3,11,0,0.00
"LOSER HUSTLER",4,15,0,0.00
"LOST BIRD",3,12,0,0.00
"LOUISIANA HARRY",5,17,0,0.00
"LOVER TRUMAN",3,10,0,0.00
"LOVERBOY ATTACKS",3,12,0,0.00
"LUCK OPUS",2,10,0,0.00
"LUCKY FLYING",3,13,0,0.00
"LUKE MUMMY",2,7,0,0.00
"MADIGAN DORADO",2,10,0,0.00
"MADISON TRAP",4,15,0,0.00
"MADNESS ATTACKS",6,25,0,0.00
"MADRE GABLES",4,14,0,0.00
